parameter_index,smirks,original_value,covered_molecule_count,nonzero_atom_count
50,"[#6X1,#6X2:1]-[#8X1,#8X2:2]",0.0286,11,26
51,"[#6X1,#6X2:1]-[#16X4:2]",0.4018,2,4
52,"[#6X1,#6X2:1]-[#16X3:2]",0.4586,1,2
53,"[#6X1,#6X2:1]-[#16X1,#16X2:2]",0.2251,19,48
54,"[#6X1,#6X2:1]-[#14X4:2]",0.2343,0,0
55,"[#6X1,#6X2:1]-[#9:2]",0.0021,2,6
56,"[#6X1,#6X2:1]-[#17:2]",0.0899,7,16
57,"[#6X1,#6X2:1]-[#35:2]",0.2338,8,16
58,"[#6X1,#6X2:1]-[#53:2]",0.2886,0,0
59,"[#6X1,#6X2:1]-[#1:2]",0.0575,185,382
60,"[#6X1,#6X2:1]=[#6X1,#6X2:2]",0.0,0,0
61,"[#6X1,#6X2:1]=[#7X2+0,#7X2-1ar5:2]",0.2204,57,144
62,"[#6X1,#6X2:1]=[#8X1,#8X2:2]",0.2335,26,74
63,"[#6X1,#6X2:1]=[#16X3:2]",0.3052,0,0
64,"[#6X1,#6X2:1]=[#16X1,#16X2:2]",0.3429,29,58
65,"[#6X1,#6X2:1]#[#6X1,#6X2:2]",0.0,491,1082
66,"[#6X1,#6X2:1]#[#7X1,#7X2+1:2]",0.3258,1192,2754
67,"[#6X3$(*=[#6]):1]-[#6X1,#6X2:2]",0.0333,283,644
68,[#6X3$(*=[#6]):1]-[#6X3$(*=[#6]):2],0.0,11582,91078
69,"[#6X3$(*=[#6]):1]-[#6X3$(*=[#7,#15]):2]",-0.0866,5666,16178
70,"[#6X3$(*=[#6]):1]-[#6X3$(*=[#8,#16]):2]",-0.0172,4524,11810
71,"[#6X3$(*=[#6]):1]-[#6a$(*~[#7aX2,#8aX2]):2]",-0.1098,0,0
72,[#6X3$(*=[#6]):1]-[#6a:2],0.0118,1,3
73,"[#6X3$(*=[#6]):1]-[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):2]",-0.0271,3761,10148
74,"[#6X3$(*=[#6]):1]-[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):2]",0.0026,2133,4955
75,"[#6X3$(*=[#6]):1]-[#7X4,#7X3,#7X2-1:2]",0.082,3661,9453
76,"[#6X3$(*=[#6]):1]-[#7X1,#7X2+1:2]",0.4897,33,68
77,"[#6X3$(*=[#6]):1]-[#7X2+0,#7X2-1ar5:2]",0.1406,5602,15377
78,"[#6X3$(*=[#6]):1]-[#8X1,#8X2:2]",0.0441,4654,13816
79,[#6X3$(*=[#6]):1]-[#16X4:2],0.4509,990,2179
80,[#6X3$(*=[#6]):1]-[#16X3:2],0.4307,77,174
81,"[#6X3$(*=[#6]):1]-[#16X1,#16X2:2]",0.2406,2601,7146
82,[#6X3$(*=[#6]):1]-[#14X4:2],0.2128,0,0
83,[#6X3$(*=[#6]):1]-[#9:2],0.0625,1506,4457
84,[#6X3$(*=[#6]):1]-[#17:2],0.0844,2177,6355
85,[#6X3$(*=[#6]):1]-[#35:2],0.1257,923,2429
86,[#6X3$(*=[#6]):1]-[#53:2],0.2728,16,32
87,[#6X3$(*=[#6]):1]-[#1:2],0.0,12912,134441
88,"[#6X3$(*=[#6]):1]=[#6X1,#6X2:2]",-0.0631,45,130
89,[#6X3$(*=[#6]):1]=[#6X3$(*=[#6]):2],0.0,13814,119784
90,"[#6X3$(*=[#7,#15]):1]-[#6X1,#6X2:2]",0.0302,24,51
91,"[#6X3$(*=[#7,#15]):1]-[#6X3$(*=[#7,#15]):2]",0.0,667,1384
92,"[#6X3$(*=[#7,#15]):1]-[#6X3$(*=[#8,#16]):2]",0.0693,501,1052
93,"[#6X3$(*=[#7,#15]):1]-[#6a$(*~[#7aX2,#8aX2]):2]",-0.0297,0,0
94,"[#6X3$(*=[#7,#15]):1]-[#6a:2]",0.0839,0,0
95,"[#6X3$(*=[#7,#15]):1]-[#7X3ar5,#7X3+1,#7X3+0$(*-[#6X3$(*=[#7X3+1])]),$([#7X3](-[#8X1-1])=[#8X1]),$([#7X3](=[#8X1])=[#8X1]):2]",0.0388,2103,4951
96,"[#6X3$(*=[#7,#15]):1]-[#7X2-1$(*-[#6X3$(*=[#8X1,#16X1])]),#7X3$(*-[#6X3$(*=[#8X1,#16X1])]):2]",0.0069,813,1675
97,"[#6X3$(*=[#7,#15]):1]-[#7X4,#7X3,#7X2-1:2]",0.1522,2621,6460
98,"[#6X3$(*=[#7,#15]):1]-[#7X1,#7X2+1:2]",0.2406,1,2
99,"[#6X3$(*=[#7,#15]):1]-[#7X2+0,#7X2-1ar5:2]",0.2193,1927,4580
